iri	label	ontology	parents
http://purl.obolibrary.org/obo/MONDO_0005388	primary biliary cholangitis	mondo	['MONDO:0015509', 'MONDO:0007329']
http://purl.obolibrary.org/obo/MONDO_0007193	primary biliary cholangitis 1	mondo	['MONDO:0005388']
http://purl.obolibrary.org/obo/MONDO_0013636	primary biliary cholangitis 4	mondo	['MONDO:0005388']
http://purl.obolibrary.org/obo/MONDO_0013637	primary biliary cholangitis 5	mondo	['MONDO:0005388']
http://purl.obolibrary.org/obo/MONDO_0013079	primary biliary cholangitis 2	mondo	['MONDO:0005388']
http://purl.obolibrary.org/obo/MONDO_0013080	primary biliary cholangitis 3	mondo	['MONDO:0005388']
http://purl.obolibrary.org/obo/MONDO_0021025	cirrhosis, familial, with antigenemia	mondo	['MONDO:0007329']
http://purl.obolibrary.org/obo/MONDO_0001347	facioscapulohumeral muscular dystrophy	mondo	['MONDO:0003847', 'MONDO:0100137', 'MONDO:0016106']
http://purl.obolibrary.org/obo/MONDO_0010884	muscular dystrophy, scapulohumeral	mondo	['MONDO:0001347']
http://purl.obolibrary.org/obo/MONDO_0030354	facioscapulohumeral muscular dystrophy 3, digenic	mondo	['MONDO:0001347']
http://purl.obolibrary.org/obo/MONDO_0030355	facioscapulohumeral muscular dystrophy 4, digenic	mondo	['MONDO:0001347']
http://purl.obolibrary.org/obo/MONDO_0008031	facioscapulohumeral muscular dystrophy 2	mondo	['MONDO:0001347']
http://purl.obolibrary.org/obo/MONDO_0008030	facioscapulohumeral muscular dystrophy 1	mondo	['MONDO:0001347']
http://purl.obolibrary.org/obo/MONDO_0009318	Hallermann-Streiff syndrome	mondo	['MONDO:0800063', 'MONDO:0019303']
http://purl.obolibrary.org/obo/MONDO_0007624	Flynn-Aird syndrome	mondo	['MONDO:0000426', 'MONDO:0019303']
http://purl.obolibrary.org/obo/MONDO_0015333	progeroid syndrome	mondo	['MONDO:0019303', 'MONDO:0019755']
http://purl.obolibrary.org/obo/MONDO_0008694	pseudoprogeria syndrome	mondo	['MONDO:0000508', 'MONDO:0015333', 'MONDO:0002320', 'MONDO:0015159']
http://purl.obolibrary.org/obo/MONDO_0014157	mandibular hypoplasia-deafness-progeroid syndrome	mondo	['MONDO:0015333']
http://purl.obolibrary.org/obo/MONDO_0016584	mandibuloacral dysplasia	mondo	['MONDO:0020087', 'MONDO:0015333', 'MONDO:0015161', 'MONDO:0015327', 'MONDO:0019707']
http://purl.obolibrary.org/obo/MONDO_0012074	mandibuloacral dysplasia with type B lipodystrophy	mondo	['MONDO:0016584', 'MONDO:0021106']
http://purl.obolibrary.org/obo/MONDO_0009557	mandibuloacral dysplasia with type A lipodystrophy	mondo	['MONDO:0016584', 'MONDO:0021106']
http://purl.obolibrary.org/obo/MONDO_0016354	xeroderma pigmentosum-Cockayne syndrome complex	mondo	['MONDO:0020240', 'MONDO:0000508', 'MONDO:0015333', 'MONDO:0015327', 'MONDO:0015951']
http://purl.obolibrary.org/obo/MONDO_0800314	xeroderma pigmentosum, type G/cockayne syndrome	mondo	['MONDO:0016354']
http://purl.obolibrary.org/obo/MONDO_0800313	xeroderma pigmentosum, type F/cockayne syndrome	mondo	['MONDO:0016354']
http://purl.obolibrary.org/obo/MONDO_0010216	xeroderma pigmentosum group G	mondo	['MONDO:0019600', 'MONDO:0016354', 'MONDO:0008926']
